,PubYear,lemmatized_Abstract,lemmatized_Title,text
1067,2007,consider variant upstream server reduce service rate downstream exceed prespecifie threshold rare event interest overflow downstream base game subsolution approach rigorously identify exponential decay rate rare event probability construct asymptotically optimal importance sample scheme,largedeviations importance sample tandem network slow,consider variant upstream server reduce service rate downstream exceed prespecifie threshold rare event interest overflow downstream base game subsolution approach rigorously identify exponential decay rate rare event probability construct asymptotically optimal importance sample scheme largedeviations importance sample tandem network slow
1068,2007,paper investigate stability behavior variant generalize queuenetwork network customer join short policy enter network move next station furthermore allow interarrival service general distribution network station derive necessary sufficient condition positive recurrence network process condition involve mean value network primitive also provide counterexample show information distribution tie break probability need network station order characterize stability system however route probability network satisfy certain homogeneity condition show stability behavior explicitly determine use mean value parameter network byproduct analysis new method use fluid model queuenetwork show non positive recurrence process previous work fluid model use show positive harris recurrence transience network process,stability join short network,paper investigate stability behavior variant generalize queuenetwork network customer join short policy enter network move next station furthermore allow interarrival service general distribution network station derive necessary sufficient condition positive recurrence network process condition involve mean value network primitive also provide counterexample show information distribution tie break probability need network station order characterize stability system however route probability network satisfy certain homogeneity condition show stability behavior explicitly determine use mean value parameter network byproduct analysis new method use fluid model queuenetwork show non positive recurrence process previous work fluid model use show positive harris recurrence transience network process stability join short network
1069,2007,novel switch approach optical burst switching involve buffer provide degenerate waiting room delay restrict multiple basic value granularity result performance loss already study analytically previous work limited assumption independent arrival involve matrix size grow fast buffer size arrival process develop generic accurate loss performance model degenerate singleserver buffer discrete time yield result instantly constellation burst size inter arrival granularity load buffer size paper present model compare result simulation illustrate impact different type correlation arrival process loss performance basic model general thus serve basic tool optical switch design,analyze degenerate buffer general inter arrival service time discrete time,novel switch approach optical burst switching involve buffer provide degenerate waiting room delay restrict multiple basic value granularity result performance loss already study analytically previous work limited assumption independent arrival involve matrix size grow fast buffer size arrival process develop generic accurate loss performance model degenerate singleserver buffer discrete time yield result instantly constellation burst size inter arrival granularity load buffer size paper present model compare result simulation illustrate impact different type correlation arrival process loss performance basic model general thus serve basic tool optical switch design analyze degenerate buffer general inter arrival service time discrete time
1070,2007,compute steady state distribution markov chain general distribution general state space computationally challenge problem paper consider steady state stochastic model equality distribution give partial distributional information random variable want estimate information distribution steady state vector model naturally occur system goal find bound moment wait time moment information service paper propose approach base optimization find bound show classical kingman daley bound expect wait time singleserver special case propose approach also report computational result context indicate method promise,optimization approach steady state analysis system,compute steady state distribution markov chain general distribution general state space computationally challenge problem paper consider steady state stochastic model equality distribution give partial distributional information random variable want estimate information distribution steady state vector model naturally occur system goal find bound moment wait time moment information service paper propose approach base optimization find bound show classical kingman daley bound expect wait time singleserver special case propose approach also report computational result context indicate method promise optimization approach steady state analysis system
1071,2007,paper solve problem find exact formula wait time length distribution first first singleserver equilibrium pareto service formula derive new obtain directly invert relevant involve single integral oscillate real value function positive real line table wait time length probability provide certain parameter value heavy traffic condition,exact waiting time size distribution equilibrium pareto service,paper solve problem find exact formula wait time length distribution first first singleserver equilibrium pareto service formula derive new obtain directly invert relevant involve single integral oscillate real value function positive real line table wait time length probability provide certain parameter value heavy traffic condition exact waiting time size distribution equilibrium pareto service
1072,2007,paper study lindley type equation wmax baw main characteristic increase monotone function main argumentw main goal derive close form expression steady state distribution general possible state sufficient condition allow also examine stability issue derive tail behaviour briefly discuss iteratively solve equation use contraction mapping,non increase lindley type equation,paper study lindley type equation wmax baw main characteristic increase monotone function main argumentw main goal derive close form expression steady state distribution general possible state sufficient condition allow also examine stability issue derive tail behaviour briefly discuss iteratively solve equation use contraction mapping non increase lindley type equation
1073,2007,let risk process reserve dependent premium rate delay claim initial capital consider class risk process derive scale slow markov walk sense let corresponding ruin probability paper prove sample path largedeviation consequence give exact asymptotic log determine likely path lead ruin finally use importance sample find asymptotically efficient law simulation,class risk process reserve dependent premium rate sample path largedeviations importance sample,let risk process reserve dependent premium rate delay claim initial capital consider class risk process derive scale slow markov walk sense let corresponding ruin probability paper prove sample path largedeviation consequence give exact asymptotic log determine likely path lead ruin finally use importance sample find asymptotically efficient law simulation class risk process reserve dependent premium rate sample path largedeviations importance sample
1074,2007,transient distribution periodic family asymptotic distribution transient periodic moment quasi birth death process time vary periodic rate distribution moment give term integral equation involve related random walk process method straight forward application generating function,transient periodic solution time inhomogeneous quasi birth death process,transient distribution periodic family asymptotic distribution transient periodic moment quasi birth death process time vary periodic rate distribution moment give term integral equation involve related random walk process method straight forward application generating function transient periodic solution time inhomogeneous quasi birth death process
1075,2007,study behavior acommunication link divide capacity fairly file transfer stream flow identify appropriate asymptotic regime obtain fluid diffusion limit non trivial tractable limit use performance analysis policy design scaling use obtain limit interest help explain observe previous simulation study,integrate streaming file transfer internet traffic fluid diffusion approximation,study behavior acommunication link divide capacity fairly file transfer stream flow identify appropriate asymptotic regime obtain fluid diffusion limit non trivial tractable limit use performance analysis policy design scaling use obtain limit interest help explain observe previous simulation study integrate streaming file transfer internet traffic fluid diffusion approximation
1076,2007,consider multi class system non preemptive time limited service control exponential timer multiple single vacation reduce service discipline schedule obtain expression laptransform lst wait time distribution iteration procedure recursive scheme calculate first moment note select embed markov point base service begin epoch instead service completion epoch adopt singleserver analysis length analysis obtain decomposition form lst wait time exhaustive service,analysis time limited service system exponential timer server vacation,consider multi class system non preemptive time limited service control exponential timer multiple single vacation reduce service discipline schedule obtain expression laptransform lst wait time distribution iteration procedure recursive scheme calculate first moment note select embed markov point base service begin epoch instead service completion epoch adopt singleserver analysis length analysis obtain decomposition form lst wait time exhaustive service analysis time limited service system exponential timer server vacation
1077,2007,recently state dependent change measure simulating overflow node tandem propose dupuis together proof asymptotic optimality present paper present alternative shorter simple proof side result obtain interpretation several quantity involve change measure term likelihood ratio,alternative proof interpretation recent state dependent importance sample scheme,recently state dependent change measure simulating overflow node tandem propose dupuis together proof asymptotic optimality present paper present alternative shorter simple proof side result obtain interpretation several quantity involve change measure term likelihood ratio alternative proof interpretation recent state dependent importance sample scheme
1078,2007,consider class system operate generalize processor share discipline asymptotic regime arrival service rate class vastly different regular singular perturbation analyse small parameter measure difference rate assume system stable close instability different regime analyze correspond underloade overload critically load fast respectively first regime low order approximation joint stationary distribution length derive critically load fast mean length investigate asymptotic matching low order result underloade overload fast establish,processor share vastly different rate,consider class system operate generalize processor share discipline asymptotic regime arrival service rate class vastly different regular singular perturbation analyse small parameter measure difference rate assume system stable close instability different regime analyze correspond underloade overload critically load fast respectively first regime low order approximation joint stationary distribution length derive critically load fast mean length investigate asymptotic matching low order result underloade overload fast establish processor share vastly different rate
1079,2007,consider singleserver processor sharing study conditional sojourn time distribution condition customer service requirement various asymptotic limit include large time large service request heavy traffic arrival rate slightly less service rate asymptotic formula relate extend result morrison,asymptotic expansion conditional sojourn time distribution singleserver,consider singleserver processor sharing study conditional sojourn time distribution condition customer service requirement various asymptotic limit include large time large service request heavy traffic arrival rate slightly less service rate asymptotic formula relate extend result morrison asymptotic expansion conditional sojourn time distribution singleserver
1080,2007,paper address sojourn time asymptotic multiserver operate processor share discipline stochastically vary service rate focus logarithmic estimate tail sojourn time distribution assumption job size distribution light tail upper bound decay rate derive fairly general condition establishment correspond low bound require service process satisfie sample path largedeviation principle show class allow service process include case service rate modulate markov process finally extend result similar system operation discriminatory processor share dps discipline analysis rely predominantly largedeviation technique,sojourn time asymptotic processor share vary service rate,paper address sojourn time asymptotic multiserver operate processor share discipline stochastically vary service rate focus logarithmic estimate tail sojourn time distribution assumption job size distribution light tail upper bound decay rate derive fairly general condition establishment correspond low bound require service process satisfie sample path largedeviation principle show class allow service process include case service rate modulate markov process finally extend result similar system operation discriminatory processor share dps discipline analysis rely predominantly largedeviation technique sojourn time asymptotic processor share vary service rate
1081,2007,propose new model name acquisition differ conventional model server serve customer also perform acquisition new customer server divide energy activity number newly acquire customer uncertain effect server acquisition effort see fix time period acquisition constitute dimensional markov chain limit length distribution derive term probability generating function exact expression mean length give large value numerical procedure need calculate mean length become computationally cumbersome therefore complement exact expression fluid key feature acquisition server perform acquisition small together delay cause length process show strongly cyclic behavior propose investigate several way plan acquisition effort particular propose acquisition scheme design specifically reduce cyclic behavior length process,acquisition,propose new model name acquisition differ conventional model server serve customer also perform acquisition new customer server divide energy activity number newly acquire customer uncertain effect server acquisition effort see fix time period acquisition constitute dimensional markov chain limit length distribution derive term probability generating function exact expression mean length give large value numerical procedure need calculate mean length become computationally cumbersome therefore complement exact expression fluid key feature acquisition server perform acquisition small together delay cause length process show strongly cyclic behavior propose investigate several way plan acquisition effort particular propose acquisition scheme design specifically reduce cyclic behavior length process acquisition
1082,2007,consider state dependent stochastic network heavy traffic diffusion limit represent reflect jump diffusion orthant state dependent reflection direction hit boundary face jump allow mean independent poisson random measure jump amplitude depend state process immediately jump class reflect jump diffusion process sufficient condition existence productform stationary density ergodic stationary distribution provide moreover stationary density characterize term semi martingale local time boundary show continuous bound central role play previously establish semi martingale local time representation regulator process,existence productform invariant distribution state dependent stochastic network heavy traffic diffusion limit,consider state dependent stochastic network heavy traffic diffusion limit represent reflect jump diffusion orthant state dependent reflection direction hit boundary face jump allow mean independent poisson random measure jump amplitude depend state process immediately jump class reflect jump diffusion process sufficient condition existence productform stationary density ergodic stationary distribution provide moreover stationary density characterize term semi martingale local time boundary show continuous bound central role play previously establish semi martingale local time representation regulator process existence productform invariant distribution state dependent stochastic network heavy traffic diffusion limit
1083,2007,paper study tail behavior fundamental period singleserver prove service time distribution regularly vary tail fundamental period distribution singleserver also regularly vary tail vice versa find explicit expression asymptotic tail fundamental period term tail service time distribution main result matrix analytic proof natural extension result meyer teugel appl singleserver technique rely heavily analytic expression relevant function,tailasymptotic fundamental period singleserver,paper study tail behavior fundamental period singleserver prove service time distribution regularly vary tail fundamental period distribution singleserver also regularly vary tail vice versa find explicit expression asymptotic tail fundamental period term tail service time distribution main result matrix analytic proof natural extension result meyer teugel appl singleserver technique rely heavily analytic expression relevant function tailasymptotic fundamental period singleserver
1084,2007,paper deal limitfluid generalize multiserver heavy traffic scale target application model internet traffic flow level paper first give simplified approach case poisson arrival express state process functional poisson point process elementary proof limit theorem base martingale technique weak convergence result give paper illustrate special poisson arrival case classical heavy traffic limit theorem multiserver develop early borovkov iglehart later krichagina addition asymptotic covariance limit gaussian process obtain class service time distribution useful derive practice key parameter distribution,limitfluid multiserver,paper deal limitfluid generalize multiserver heavy traffic scale target application model internet traffic flow level paper first give simplified approach case poisson arrival express state process functional poisson point process elementary proof limit theorem base martingale technique weak convergence result give paper illustrate special poisson arrival case classical heavy traffic limit theorem multiserver develop early borovkov iglehart later krichagina addition asymptotic covariance limit gaussian process obtain class service time distribution useful derive practice key parameter distribution limitfluid multiserver
1085,2007,paper study fluid couple input output flow arrive accord poisson process flow present transmit traffic rate remain use serve assume exponentially distribute flow size consideration regard system markov fluid input rationale study lie network bottleneck link roughly type sharing policy consider performance metric stationary workload iithe packet fluid particle arrive arbitrary point time flow transfer delay time elapse arrival flow epoch traffic put sojourn time flow transfer time increase time take last fluid particle flow serve random variable compute laptransform correspond tail probability decay exponentially show largedeviation analysis,fluid system couple input output application bottleneck network,paper study fluid couple input output flow arrive accord poisson process flow present transmit traffic rate remain use serve assume exponentially distribute flow size consideration regard system markov fluid input rationale study lie network bottleneck link roughly type sharing policy consider performance metric stationary workload iithe packet fluid particle arrive arbitrary point time flow transfer delay time elapse arrival flow epoch traffic put sojourn time flow transfer time increase time take last fluid particle flow serve random variable compute laptransform correspond tail probability decay exponentially show largedeviation analysis fluid system couple input output application bottleneck network
1086,2007,consider discrete time singleserver system service time customer slot arrival process govern discrete autoregressive process order darp system investigate tail behavior size wait time distribution specifically show stationary distribution darp input tail regvariation index stationary distribution size wait time tail regvariation index,regularly vary tail discrete autoregressive arrival order,consider discrete time singleserver system service time customer slot arrival process govern discrete autoregressive process order darp system investigate tail behavior size wait time distribution specifically show stationary distribution darp input tail regvariation index stationary distribution size wait time tail regvariation index regularly vary tail discrete autoregressive arrival order
1087,2007,paper consider multiclass fluid buffer infinite capacity input rate fluid flow respective class drain rate buffer modulate continuous time markov chain derive joint laptransform stationary buffer content respective class assume fifo service discipline develop numerically feasible procedure compute joint marginal moment stationary buffer content respective class numerical example provide,fluid,paper consider multiclass fluid buffer infinite capacity input rate fluid flow respective class drain rate buffer modulate continuous time markov chain derive joint laptransform stationary buffer content respective class assume fifo service discipline develop numerically feasible procedure compute joint marginal moment stationary buffer content respective class numerical example provide fluid
1088,2007,examine resource allocation problem partition identical server parallel pooling center simultaneously assign job type pool center job type distinct poisson arrival rate distinct hold cost unit time pool center become system exponential service time distribution goal minimize total hold cost problem show polynomial job type divide pooling center hard divide job type possible server job divide demonstrate pool center configuration rarely optimal heuristic check single pool center upper bind relative error heuristic extended multiserver problem relative error bound number server,allocation job identical resource pool center,examine resource allocation problem partition identical server parallel pooling center simultaneously assign job type pool center job type distinct poisson arrival rate distinct hold cost unit time pool center become system exponential service time distribution goal minimize total hold cost problem show polynomial job type divide pooling center hard divide job type possible server job divide demonstrate pool center configuration rarely optimal heuristic check single pool center upper bind relative error heuristic extended multiserver problem relative error bound number server allocation job identical resource pool center
1089,2007,stationary process wait time singleserver size successive departure epoch qnn long range dependent moment index independent identically distribute iid sequence service time tail service time regularly vary infinity stationary long range dependent process hurst index assumption hold sequence serial correlation coefficient stationary process behave asymptotically finite positive index condition also hold sequence serial correlation coefficient stationary process also hurst index,long range dependence stationary process singleserver,stationary process wait time singleserver size successive departure epoch qnn long range dependent moment index independent identically distribute iid sequence service time tail service time regularly vary infinity stationary long range dependent process hurst index assumption hold sequence serial correlation coefficient stationary process behave asymptotically finite positive index condition also hold sequence serial correlation coefficient stationary process also hurst index long range dependence stationary process singleserver
1090,2007,paper discuss asymptotic behavior loss probability general type structure multiserver singleserver singleserver find explicit expression asymptotic behavior loss probability tend infinity result show loss probability tend geometric rate,asymptotic analysis loss probability finite singleserver type structure,paper discuss asymptotic behavior loss probability general type structure multiserver singleserver singleserver find explicit expression asymptotic behavior loss probability tend infinity result show loss probability tend geometric rate asymptotic analysis loss probability finite singleserver type structure
1091,2007,consider multi multiserver system server processor system arrive stationary ergodic stream different type request service requirement serve accord follow limited head line processor share discipline first request head serve processor share processor request receive capacity processor mean sample path analysis loyne monotonicity method stationary ergodic state process construct necessary well sufficient condition stability separate give tight class stationary ergodic input condition lead tight necessary sufficient condition whole system also case permanent customer generalize early result author case,stability multi multiserver processor share limited service,consider multi multiserver system server processor system arrive stationary ergodic stream different type request service requirement serve accord follow limited head line processor share discipline first request head serve processor share processor request receive capacity processor mean sample path analysis loyne monotonicity method stationary ergodic state process construct necessary well sufficient condition stability separate give tight class stationary ergodic input condition lead tight necessary sufficient condition whole system also case permanent customer generalize early result author case stability multi multiserver processor share limited service
1092,2007,previous study uitert syst logarithmic large buffer asymptotic derive class generalize processor sharing system gaussian input possible scenario note show large buffer asymptotic remain fourth regime follow recently derive result tandem system also provide heuristic interpretation result,note large buffer asymptotic generalize processor sharing gaussian input,previous study uitert syst logarithmic large buffer asymptotic derive class generalize processor sharing system gaussian input possible scenario note show large buffer asymptotic remain fourth regime follow recently derive result tandem system also provide heuristic interpretation result note large buffer asymptotic generalize processor sharing gaussian input
1094,2007,let probability workload initially empty singleserver exceed time,efficient simulation finite horizon problem insurance risk,let probability workload initially empty singleserver exceed time efficient simulation finite horizon problem insurance risk
1095,2007,consider superposition cumulative fluid generate increase number stationary iid source exponential iid time distribution establish family sample path largedeviation principle fluid center scale factor inverse number source square root common rate function family also appear largedeviation principle tail probability integrate process produce fluid center scale square root inverse number source converge integrate process distribution discuss several representation rate function apply result system load traffic approach critical loading,path moderate deviation cumulative fluid produce increase number exponential source,consider superposition cumulative fluid generate increase number stationary iid source exponential iid time distribution establish family sample path largedeviation principle fluid center scale factor inverse number source square root common rate function family also appear largedeviation principle tail probability integrate process produce fluid center scale square root inverse number source converge integrate process distribution discuss several representation rate function apply result system load traffic approach critical loading path moderate deviation cumulative fluid produce increase number exponential source
1096,2007,paper consider storage model type input output seasonal switching input assume occur fluid fashion output occur unit rate long correspond storage non empty distribution property storage level derive time stationary regime first investigate process embed successive switching point process markov independent component continuous time component also independent finite dependent stationary regime,fluid storage model lvy input alternate output,paper consider storage model type input output seasonal switching input assume occur fluid fashion output occur unit rate long correspond storage non empty distribution property storage level derive time stationary regime first investigate process embed successive switching point process markov independent component continuous time component also independent finite dependent stationary regime fluid storage model lvy input alternate output
1098,2008,consider assume arrive customer decide enter system balk base natural reward cost structure incorporate desire service well unwillingness suppose wait space system partition compartment fix capacity customer make decision customer know compartment enter position compartment enter thus denote number customer find arrive customer know nmoda examine customer behavior various level information regard system state identify equilibrium threshold strategy also study correspond social profit maximization problem,optimal balk strategy price singleserver markov compartmente waiting space,consider assume arrive customer decide enter system balk base natural reward cost structure incorporate desire service well unwillingness suppose wait space system partition compartment fix capacity customer make decision customer know compartment enter position compartment enter thus denote number customer find arrive customer know nmoda examine customer behavior various level information regard system state identify equilibrium threshold strategy also study correspond social profit maximization problem optimal balk strategy price singleserver markov compartmente waiting space
1099,2008,consider parallel server system consist several customer class server pool parallel propose simple robust control policy minimize total linear holding renege cost show policy asymptotically optimal many server heavy traffic regime parallel server system server pool dependent exponentially distribute,optimal control parallel server system many server heavy traffic,consider parallel server system consist several customer class server pool parallel propose simple robust control policy minimize total linear holding renege cost show policy asymptotically optimal many server heavy traffic regime parallel server system server pool dependent exponentially distribute optimal control parallel server system many server heavy traffic
1100,2008,consider discrete time model multiple exogenous arrival process serve server capacity vary randomly asynchronously respect different model primarily motivated problem efficient scheduling transmission multiple datum flow share wireless channelwe address follow problem control largedeviation find scheduling rule optimal sense maximize length stationary regime parameter thus seek maximize minimum exponential decay rate tail distribution weight length aiqi give upper bind scheduling rule low bind exponential rule prove bound match thus prove optimality exp rule parsimonious require pre computation parameter use current state rule invariant respect scale complicate analysis largedeviation regime overcome introduce prove refined sample path largedeviation principle refine theorem independent interest,largedeviation share randomly time vary server,consider discrete time model multiple exogenous arrival process serve server capacity vary randomly asynchronously respect different model primarily motivated problem efficient scheduling transmission multiple datum flow share wireless channelwe address follow problem control largedeviation find scheduling rule optimal sense maximize length stationary regime parameter thus seek maximize minimum exponential decay rate tail distribution weight length aiqi give upper bind scheduling rule low bind exponential rule prove bound match thus prove optimality exp rule parsimonious require pre computation parameter use current state rule invariant respect scale complicate analysis largedeviation regime overcome introduce prove refined sample path largedeviation principle refine theorem independent interest largedeviation share randomly time vary server
1101,2008,paper investigate multiserver parameter depend external random environment assume markov process state space show recursive formula allow compute factorial moment number customer system steady state use technique base calculation raw moment measure bidimensional random set finally case random environment state deeply analyze obtain explicit formula compute mention factorial moment least state sojourn time exponentially distribute,multiserver random environment,paper investigate multiserver parameter depend external random environment assume markov process state space show recursive formula allow compute factorial moment number customer system steady state use technique base calculation raw moment measure bidimensional random set finally case random environment state deeply analyze obtain explicit formula compute mention factorial moment least state sojourn time exponentially distribute multiserver random environment
1102,2008,investigate steady state property limited processor share heavy traffic analysis build previously obtain process limit theorem require interchange steady state heavy traffic limit establish coupling argument limit theorem yield explicit approximation steady state length response time distribution heavy traffic quality support simulation experiment,steady state approximation limited processor share heavy traffic,investigate steady state property limited processor share heavy traffic analysis build previously obtain process limit theorem require interchange steady state heavy traffic limit establish coupling argument limit theorem yield explicit approximation steady state length response time distribution heavy traffic quality support simulation experiment steady state approximation limited processor share heavy traffic
1103,2008,paper study different problem class customer give priority class first problem singleserver receive class customer general service time requirement follow preemptive resume policy class impatient abandon system wait time long exponentially distribute patience limit second model low priority class assume patient singleserver choose next customer serve accord non preemptive priority policy favor impatient customer third problem involve multiserver system use analyze call center offering call option impatient customer customer request call back consider low priority class obtain steady state performance measure class first problem high priority class third problem exploit level crossing method furthermore adapt literature obtain factorial moment low priorityqueue length multiserver system exactly,priorityqueue impatient customer,paper study different problem class customer give priority class first problem singleserver receive class customer general service time requirement follow preemptive resume policy class impatient abandon system wait time long exponentially distribute patience limit second model low priority class assume patient singleserver choose next customer serve accord non preemptive priority policy favor impatient customer third problem involve multiserver system use analyze call center offering call option impatient customer customer request call back consider low priority class obtain steady state performance measure class first problem high priority class third problem exploit level crossing method furthermore adapt literature obtain factorial moment low priorityqueue length multiserver system exactly priorityqueue impatient customer
1104,2008,consider infinite server arrival service rate govern semi markov process independent aspect particular derive system equation satisfy various part generating function steady state length assume arrival bring amount work system erlang distribute equation use show derive moment steady state length conclude show result slightly extend use transient version little law generate rigorous approximation steady state length case amount work bring give arrival arbitrary distribution,infinite server influence markov environment,consider infinite server arrival service rate govern semi markov process independent aspect particular derive system equation satisfy various part generating function steady state length assume arrival bring amount work system erlang distribute equation use show derive moment steady state length conclude show result slightly extend use transient version little law generate rigorous approximation steady state length case amount work bring give arrival arbitrary distribution infinite server influence markov environment
1105,2008,assemble order system high volume prospective customer arrive unit time show set nominal component production rate quote price maximum leadtime product dynamically sequence order assembly expedite component component expedite necessary fill order maximum leadtime allow update price maximum leadtime nominal component production rate response periodic random shift demand supply condition assume expedite cost large prove propose policy maximize infinite horizon expect discount profit high volume limit general assemble order system arbitrary cost expedite option salvage excess component show solve approximate brownian control problem translate solution effective control policy,optimal control high volume assemble order system maximum leadtime quotation expedite,assemble order system high volume prospective customer arrive unit time show set nominal component production rate quote price maximum leadtime product dynamically sequence order assembly expedite component component expedite necessary fill order maximum leadtime allow update price maximum leadtime nominal component production rate response periodic random shift demand supply condition assume expedite cost large prove propose policy maximize infinite horizon expect discount profit high volume limit general assemble order system arbitrary cost expedite option salvage excess component show solve approximate brownian control problem translate solution effective control policy optimal control high volume assemble order system maximum leadtime quotation expedite
1106,2008,consider multiserver system arrival service rate depend state auxiliary semi markov process view external environment find mean number customer system steady state particular case external environment state find distribution number customer system,multiserver random environment,consider multiserver system arrival service rate depend state auxiliary semi markov process view external environment find mean number customer system steady state particular case external environment state find distribution number customer system multiserver random environment
1107,2008,oper consider singleserver type system unreliable server retrial model assume server fail service customer customer leave server join retrial group random interval repeat attempt get service suggest alternative method analysis markov process describe function system find joint distribution server state number customer number customer retrial group steady state,singleserver retrial retrial due server failure,oper consider singleserver type system unreliable server retrial model assume server fail service customer customer leave server join retrial group random interval repeat attempt get service suggest alternative method analysis markov process describe function system find joint distribution server state number customer number customer retrial group steady state singleserver retrial retrial due server failure
1108,2008,paper propose approximation compute steady state performance measure multiserver receive poisson arrival identical server general service abandonment time distribution approximation base scale singleserver singleserver problem involve deterministic exponential distribution suggest practical way compute wait time distribution moment use laptransform workload density function first contribution numerically compute workload density function singleserver time follow general distribution different deterministic exponential distribution compute wait time distribution moment next scale singleserver give rise approximation capture behavior multiserver system conduct extensive numerical experiment test speed performance approximation prove accuracy prediction,approximation multiserver type call center,paper propose approximation compute steady state performance measure multiserver receive poisson arrival identical server general service abandonment time distribution approximation base scale singleserver singleserver problem involve deterministic exponential distribution suggest practical way compute wait time distribution moment use laptransform workload density function first contribution numerically compute workload density function singleserver time follow general distribution different deterministic exponential distribution compute wait time distribution moment next scale singleserver give rise approximation capture behavior multiserver system conduct extensive numerical experiment test speed performance approximation prove accuracy prediction approximation multiserver type call center
1109,2008,analyze tailasymptotic node tandem spectrally positive lvy input first focus lie tail probability type large denote steady state workload case light tail input analysis heavily use joint laptransform stationary buffer content first second logarithmic asymptotic express solution programming problem case heavy tail input rely sample path method derive exact asymptotic specialize tailasymptotic downstream case light tail heavy tail also indicate result extend tandem node,asymptotic analysis drive tandem,analyze tailasymptotic node tandem spectrally positive lvy input first focus lie tail probability type large denote steady state workload case light tail input analysis heavily use joint laptransform stationary buffer content first second logarithmic asymptotic express solution programming problem case heavy tail input rely sample path method derive exact asymptotic specialize tailasymptotic downstream case light tail heavy tail also indicate result extend tandem node asymptotic analysis drive tandem
1110,2008,let dimensional brownian motion confine non negative quadrant oblique reflection boundary process arise apply probability diffusion approximation station queuenetwork parameter drift vector covariance matrix direction reflection quadrant boundary ray necessary sufficient condition know positive recurrent semimartingale restriction impose process datum study assumption largedeviation principle conjecture stationary distribution recapitulate case rigorously justify sufficiently regular say stationary probability decay exponentially asymptotic decay rate minimum value achieve certain function syst theory appl provide complete explicit solution largedeviation rate function paper express solution simplify form show way computation reduce relatively simple problem least cost travel point line,reflect brownian behavior stationary distribution,let dimensional brownian motion confine non negative quadrant oblique reflection boundary process arise apply probability diffusion approximation station queuenetwork parameter drift vector covariance matrix direction reflection quadrant boundary ray necessary sufficient condition know positive recurrent semimartingale restriction impose process datum study assumption largedeviation principle conjecture stationary distribution recapitulate case rigorously justify sufficiently regular say stationary probability decay exponentially asymptotic decay rate minimum value achieve certain function syst theory appl provide complete explicit solution largedeviation rate function paper express solution simplify form show way computation reduce relatively simple problem least cost travel point line reflect brownian behavior stationary distribution
